year,team,coach,sport,Jersey,Player,Yr,Pos,GP,GS,Games,Goals,Assists,Points,ShAtt,Fouls,Red Cards,Yellow Cards,GC,Goal App,GGS,Goalie Min. Plyd,GA,GAA,Saves,SV Pct,Shutouts,Combined Sho,G Wins,G Loss,DSaves,Corners,PK,PK Att,GWG
2019-20,Utah Valley Wolverines,Chris Lemay,Women's Soccer,12,"Sullivan, Mega",So,D,19,,,,3.00,3.00,5,8,,1,,,,,,,,,,,,,,,,,
2019-20,Utah Valley Wolverines,Chris Lemay,Women's Soccer,12,"Sullivan, Mega",So,D,19,,,,3.00,3.00,5,8,,1,,,,,,,,,,,,,,,,,
2019-20,VMI ,Chris Haught-Thompson,Women's Soccer,10,"Cardenas, Marily",Jr,M,15,,,,,0.00,3,5,,,,,,,,,,,,,,,,,,,
2019-20,VMI ,Chris Haught-Thompson,Women's Soccer,10,"Cardenas, Marily",Jr,M,15,,,,,0.00,3,5,,,,,,,,,,,,,,,,,,,
2019-20,VCU Rams,Lindsey Martin,Women's Soccer,5,"Fox, Cici",Jr,F,16,,,2,,4.00,17,7,,,,,,,0,,,,,,,,,,,,1
2019-20,VCU Rams,Lindsey Martin,Women's Soccer,5,"Fox, Cici",Jr,F,16,,,2,,4.00,17,7,,,,,,,0,,,,,,,,,,,,1
2019-20,Valparaiso Crusaders,John Marovich,Women's Soccer,15,"Park, Elizabeth",Fr,,5,,,,,0.00,1,1,,1,,,,,0,,,,,,,,,,,,
2019-20,Valparaiso Crusaders,John Marovich,Women's Soccer,15,"Park, Elizabeth",Fr,,5,,,,,0.00,1,1,,1,,,,,0,,,,,,,,,,,,
2019-20,Vanderbilt Commodores,Darren Ambrose,Women's Soccer,10,"Saltmarsh, Caroline",Sr,M,12,,12,,,0.00,1,3,,,,,,,,,,,,,,,,,,,
2019-20,Vanderbilt Commodores,Darren Ambrose,Women's Soccer,10,"Saltmarsh, Caroline",Sr,M,12,,12,,,0.00,1,3,,,,,,,,,,,,,,,,,,,
2019-20,Utah St. Aggies,Heather Cairns,Women's Soccer,7,"Astle, Mega",Fr,,19,,,2,,4.00,16,6,,1,,,,,,,,,,,,,,,,,2
2019-20,Utah St. Aggies,Heather Cairns,Women's Soccer,7,"Astle, Mega",Fr,,19,,,2,,4.00,16,6,,1,,,,,,,,,,,,,,,,,2
2019-20,Utah Valley Wolverines,Chris Lemay,Women's Soccer,17,"Bruce, Hannah",Sr,D,18,,,,1.00,1.00,7,16,,2,,,,,0,,,,,,,,,,,,
2019-20,Utah Valley Wolverines,Chris Lemay,Women's Soccer,17,"Bruce, Hannah",Sr,D,18,,,,1.00,1.00,7,16,,2,,,,,0,,,,,,,,,,,,
2019-20,VMI ,Chris Haught-Thompson,Women's Soccer,14,"Criscione, Gabby",So,D,15,,,,,0.00,7,5,,,,,,,0,,,,,,,,,,,,
2019-20,VMI ,Chris Haught-Thompson,Women's Soccer,14,"Criscione, Gabby",So,D,15,,,,,0.00,7,5,,,,,,,0,,,,,,,,,,,,
2019-20,VCU Rams,Lindsey Martin,Women's Soccer,24,"Diorio, Amber",So,D,13,,,,,0.00,,2,,,,,,,,,,,,,,,,,,,
